Date,Closing_gold
1985-01-01,308.3
1985-01-02,305.5
1985-01-03,302.3
1985-01-04,303.15
1985-01-07,298.25
1985-01-08,302.0
1985-01-09,300.5
1985-01-10,303.8
1985-01-11,304.25
1985-01-14,299.0
1985-01-15,301.8
1985-01-16,302.7
1985-01-17,305.5
1985-01-18,308.0
1985-01-21,307.25
1985-01-22,306.9
1985-01-23,300.25
1985-01-24,300.85
1985-01-25,298.85
1985-01-28,297.75
1985-01-29,303.25
1985-01-30,302.9
1985-01-31,306.65
1985-02-01,303.6
1985-02-04,301.25
1985-02-05,302.05
1985-02-06,302.85
1985-02-07,301.65
1985-02-08,299.8
1985-02-11,300.15
1985-02-12,302.5
1985-02-13,303.2
1985-02-14,304.15
1985-02-15,304.0
1985-02-18,304.5
1985-02-19,302.6
1985-02-20,302.9
1985-02-21,299.85
1985-02-22,298.4
1985-02-25,284.25
1985-02-26,285.75
1985-02-27,290.8
1985-02-28,287.75
1985-03-01,287.25
1985-03-04,288.65
1985-03-05,287.9
1985-03-06,287.4
1985-03-07,289.6
1985-03-08,291.0
1985-03-11,291.0
1985-03-12,288.45
1985-03-13,290.25
1985-03-14,290.75
1985-03-15,292.7
1985-03-18,298.85
1985-03-19,316.75
1985-03-20,324.0
1985-03-21,318.5
1985-03-22,315.5
1985-03-25,314.6
1985-03-26,323.75
1985-03-27,330.4
1985-03-28,326.25
1985-03-29,329.25
1985-04-01,321.1
1985-04-02,318.75
1985-04-03,321.25
1985-04-04,316.75
1985-04-05,316.75
1985-04-08,316.75
1985-04-09,323.1
1985-04-10,327.25
1985-04-11,332.25
1985-04-12,329.9
1985-04-15,334.25
1985-04-16,330.5
1985-04-17,327.35
1985-04-18,329.75
1985-04-19,327.0
1985-04-22,327.75
1985-04-23,326.65
1985-04-24,322.0
1985-04-25,322.5
1985-04-26,323.5
1985-04-29,322.5
1985-04-30,321.35
1985-05-01,312.5
1985-05-02,313.25
1985-05-03,312.75
1985-05-06,312.75
1985-05-07,313.5
1985-05-08,312.85
1985-05-09,315.1
1985-05-10,314.5
1985-05-13,321.0
1985-05-14,326.5
1985-05-15,322.75
1985-05-16,320.1
1985-05-17,322.5
1985-05-20,323.3
1985-05-21,314.9
1985-05-22,316.25
1985-05-23,315.4
1985-05-24,314.7
1985-05-27,314.7
1985-05-28,311.25
1985-05-29,312.0
1985-05-30,314.6
1985-05-31,314.0
1985-06-03,318.1
1985-06-04,315.65
1985-06-05,314.2
1985-06-06,314.8
1985-06-07,314.3
1985-06-10,312.0
1985-06-11,315.0
1985-06-12,314.5
1985-06-13,313.75
1985-06-14,318.25
1985-06-17,318.9
1985-06-18,323.75
1985-06-19,325.4
1985-06-20,318.1
1985-06-21,313.45
1985-06-24,314.65
1985-06-25,315.5
1985-06-26,316.75
1985-06-27,315.0
1985-06-28,317.75
1985-07-01,313.9
1985-07-02,308.25
1985-07-03,310.35
1985-07-04,310.55
1985-07-05,311.6
1985-07-08,309.25
1985-07-09,314.85
1985-07-10,314.85
1985-07-11,313.55
1985-07-12,315.65
1985-07-15,315.85
1985-07-16,321.75
1985-07-17,325.6
1985-07-18,320.0
1985-07-19,318.9
1985-07-22,317.25
1985-07-23,322.5
1985-07-24,317.75
1985-07-25,317.4
1985-07-26,316.95
1985-07-29,326.5
1985-07-30,325.25
1985-07-31,327.5
1985-08-01,322.1
1985-08-02,320.5
1985-08-05,323.75
1985-08-06,319.8
1985-08-07,321.15
1985-08-08,322.5
1985-08-09,321.65
1985-08-12,326.65
1985-08-13,326.5
1985-08-14,326.0
1985-08-15,331.1
1985-08-16,335.35
1985-08-19,340.9
1985-08-20,334.15
1985-08-21,335.9
1985-08-22,335.5
1985-08-23,334.85
1985-08-26,334.85
1985-08-27,336.0
1985-08-28,340.9
1985-08-29,337.0
1985-08-30,333.25
1985-09-02,334.65
1985-09-03,328.2
1985-09-04,326.0
1985-09-05,325.75
1985-09-06,317.4
1985-09-09,319.35
1985-09-10,321.65
1985-09-11,320.75
1985-09-12,319.25
1985-09-13,321.3
1985-09-16,319.3
1985-09-17,317.6
1985-09-18,316.25
1985-09-19,316.3
1985-09-20,319.15
1985-09-23,327.45
1985-09-24,327.9
1985-09-25,328.5
1985-09-26,329.25
1985-09-27,328.6
1985-09-30,325.75
1985-10-01,322.25
1985-10-02,324.95
1985-10-03,324.9
1985-10-04,328.0
1985-10-07,325.75
1985-10-08,326.35
1985-10-09,326.55
1985-10-10,325.5
1985-10-11,325.6
1985-10-14,326.65
1985-10-15,327.0
1985-10-16,323.65
1985-10-17,325.5
1985-10-18,326.25
1985-10-21,326.15
1985-10-22,327.75
1985-10-23,325.9
1985-10-24,326.2
1985-10-25,325.4
1985-10-28,326.5
1985-10-29,326.3
1985-10-30,326.2
1985-10-31,325.1
1985-11-01,323.5
1985-11-04,325.35
1985-11-05,324.6
1985-11-06,324.4
1985-11-07,323.0
1985-11-08,321.95
1985-11-11,323.1
1985-11-12,323.1
1985-11-13,324.5
1985-11-14,325.3
1985-11-15,325.4
1985-11-18,323.5
1985-11-19,324.35
1985-11-20,325.65
1985-11-21,325.8
1985-11-22,326.5
1985-11-25,330.2
1985-11-26,331.25
1985-11-27,328.15
1985-11-28,326.3
1985-11-29,325.3
1985-12-02,321.5
1985-12-03,322.6
1985-12-04,324.2
1985-12-05,322.8
1985-12-06,322.3
1985-12-09,317.4
1985-12-10,317.0
1985-12-11,315.5
1985-12-12,317.5
1985-12-13,317.75
1985-12-16,318.6
1985-12-17,321.15
1985-12-18,320.05
1985-12-19,325.8
1985-12-20,325.55
1985-12-23,327.6
1985-12-24,324.85
1985-12-25,324.85
1985-12-26,324.85
1985-12-27,326.85
1985-12-30,326.8
1985-12-31,326.8
1986-01-01,326.8
1986-01-02,326.3
1986-01-03,326.75
1986-01-06,328.0
1986-01-07,330.0
1986-01-08,332.6
1986-01-09,333.5
1986-01-10,340.45
1986-01-13,339.4
1986-01-14,341.0
1986-01-15,346.75
1986-01-16,363.0
1986-01-17,352.6
1986-01-20,351.0
1986-01-21,356.5
1986-01-22,353.0
1986-01-23,350.3
1986-01-24,354.0
1986-01-27,358.4
1986-01-28,353.0
1986-01-29,353.25
1986-01-30,358.0
1986-01-31,350.5
